variable,importance,rank,cumulative
l_SOL24,0.001315643842279332,161,0.9071756493160473
l_TOP67,0.0013151586827837216,162,0.9084908079988311
l_TOP117,0.001290959624137508,163,0.9097817676229686
u_TOP39,0.001280055422441019,164,0.9110618230454096
l_CLI24,0.0012767388948522309,165,0.9123385619402619
u_TOP143,0.001275282188005397,166,0.9136138441282673
l_TOP1,0.0012746764410080462,167,0.9148885205692754
l_TOP28,0.0012724051057107708,168,0.9161609256749862
l_SOL36,0.001265618665731508,169,0.9174265443407177
u_SOL27,0.0012603500190145726,170,0.9186868943597323
u_LAC10,0.0012512690397595196,171,0.9199381633994917
l_SOL44,0.001248742149375966,172,0.9211869055488677
u_TOP51,0.001247653512475503,173,0.9224345590613432
l_TOP2,0.0012461573711400043,174,0.9236807164324832
l_TOP40,0.0012459353758391513,175,0.9249266518083223
u_TOP126,0.0012431216737303836,176,0.9261697734820528
l_TOP61,0.0012415755087456478,177,0.9274113489907984
l_TOP10,0.0012402631974282115,178,0.9286516121882266
u_TOP19,0.001234200028291657,179,0.9298858122165182
l_TOP127,0.001225879440189701,180,0.9311116916567079
u_SOL39,0.0012258741176377165,181,0.9323375657743457
u_TOP43,0.0012122286617248885,182,0.9335497944360706
l_TOP59,0.001191326849941185,183,0.9347411212860117
l_CLI16,0.0011886999700273975,184,0.9359298212560391
u_TOP95,0.0011875378140479601,185,0.9371173590700871
l_CLI72,0.0011848338196352966,186,0.9383021928897224
u_TOP59,0.0011684646545629684,187,0.9394706575442854
l_TOP42,0.0011642105311312622,188,0.9406348680754166
l_TOP119,0.001163526905448665,189,0.9417983949808653
u_TOP27,0.0011490182912821311,190,0.9429474132721474
u_TOP139,0.0011460770641667703,191,0.9440934903363142
u_TOP119,0.0011435530345215903,192,0.9452370433708358
l_TOP50,0.001140729407005715,193,0.9463777727778415
l_SOL20,0.001136822045689312,194,0.9475145948235308
l_TOP91,0.001126014039554851,195,0.9486406088630857
u_TOP67,0.0011235549788613695,196,0.9497641638419471
l_TOP74,0.0011187955450209922,197,0.9508829593869681
u_LAC4,0.0011145634819449874,198,0.951997522868913
l_TOP90,0.0011012167388641534,199,0.9530987396077772
l_TOP79,0.001095376320754007,200,0.9541941159285312
l_TOP76,0.0010918686176454265,201,0.9552859845461766
l_TOP104,0.0010887986373184107,202,0.956374783183495
l_CLI56,0.0010865464986529291,203,0.9574613296821479
u_TOP112,0.0010814914539876578,204,0.9585428211361355
l_TOP16,0.0010800879961260568,205,0.9596229091322616
u_TOP110,0.0010741478622342678,206,0.9606970569944958
u_TOP135,0.0010687185001445742,207,0.9617657754946404
u_TOP15,0.0010648327804162697,208,0.9628306082750566
l_TOP52,0.0010625012256305967,209,0.9638931095006872
l_CLI36,0.0010396970490165643,210,0.9649328065497037
u_LAC3,0.0010293061905180866,211,0.9659621127402218
l_CLI48,0.0010267996962559293,212,0.9669889124364778
l_LAC6,0.001023924751106555,213,0.9680128371875844
u_TOP35,0.001005738359027218,214,0.9690185755466115
l_TOP14,0.000990955733324284,215,0.9700095312799358
l_CLI60,0.0009904444070899898,216,0.9709999756870258
l_CLI76,0.0009593588751080445,217,0.9719593345621338
l_TOP75,0.0009559692486233448,218,0.9729153038107571
l_TOP108,0.0009527909286697173,219,0.9738680947394268
u_LAC9,0.0009490646631584938,220,0.9748171594025853
u_TOP63,0.0009408819227539855,221,0.9757580413253393
l_TOP51,0.0009297164939364942,222,0.9766877578192757
l_SOL55,0.000923070088686007,223,0.9776108279079617
u_LAC13,0.0009224264297587062,224,0.9785332543377204
l_CLI32,0.0009006155681310243,225,0.9794338699058515
l_SOL4,0.0008881156868088914,226,0.9803219855926604
l_LAC9,0.0008780334865151039,227,0.9812000190791754
l_CLI4,0.0008686885289165058,228,0.982068707608092
