variable,PC1,PC2,PC3,PC4,PC5
l_SOL11,-0.06312868102975545,-0.06513981931195185,0.09822281791320077,0.15187182480077577,0.027425482088901457
l_SOL12,0.02632567128578983,-0.031529126687769575,0.024350569808137622,-0.001513061853284038,-0.05030398554733751
l_SOL13,0.051002221855855706,0.097335089615149,-0.06482621028876348,-0.14360308044110404,-0.04084514246038341
l_SOL14,0.060546698957663354,0.08727627104367695,-0.052387930749215564,-0.14986946404740745,-0.06319733612609131
l_SOL15,0.05637129289966527,0.09593581911343019,-0.06018330089272505,-0.14910685314734543,-0.05123664685413398
l_SOL16,0.023218234776015503,-0.012974437726312403,0.012669209982338826,-0.021731191373610636,-0.05299917369368023
l_SOL17,-0.021025330889381383,-0.0860124327985929,-0.0428819597887288,0.06811738329180987,0.08379907588474832
l_SOL18,-0.005831846282857277,-0.09242364518070624,-0.03202209197598584,0.049063674363138736,0.040678057090445745
l_SOL19,-0.013624033934780271,-0.09334628776557381,-0.03863502545547881,0.05984069046978947,0.06233099440267385
l_SOL20,0.024810832682098577,-0.004370245780787743,-0.0009237530630754248,-0.031522535983047564,-0.07022991144087638
l_SOL5,-0.03469956121495877,-0.06941083139105497,0.0663869256365418,0.16927232357612368,0.043760308492462575
l_SOL6,-0.016915271916058662,-0.0812563488555823,0.0757455674864627,0.16849407328951913,0.00665288018539114
l_SOL7,-0.028528949355154563,-0.07923602275659802,0.07199925777624432,0.17350564554936934,0.022630122953162867
l_SOL8,0.04381017408575385,-0.010520219702466117,0.0006692159263556441,-0.020168928477393544,-0.07030629802388794
l_SOL37,0.07146772039862699,-0.009461552867062354,-0.08214575975040987,0.07806001768950455,-0.05634970016008046
l_SOL38,0.09267130779189249,-0.008600237887768043,-0.05576889963781493,0.0504553930293304,-0.08852594053735705
l_SOL39,0.08967171302854268,-0.009746859356015181,-0.08028959875721237,0.06280960740889774,-0.07676291870920544
l_SOL40,0.07005827081550373,0.0024446436686557226,-0.035509051301788754,0.016265284476266764,-0.07605394512883346
l_SOL41,-0.08013246057365037,0.08490537769969494,0.12146402575280366,0.016619596035428515,0.03785947079176424
l_SOL42,-0.06999911696308123,0.07250612716518831,0.14512488698710677,0.011831166095691513,0.014613415035998549
l_SOL44,0.020264516502664604,-0.025037597211921007,0.06560624979076449,-0.008751993203316762,-0.05825355863422691
l_SOL25,-0.1046696481963579,0.017188045320250186,0.05861235956974455,-0.05976608481145609,0.10722253619441201
l_SOL26,-0.08631750350158497,0.006084298032074969,0.08530529880116205,-0.06434215415745456,0.07131716753933669
l_SOL27,-0.09728761559647289,0.010310953839602146,0.07637989009406447,-0.06349333187502465,0.0919924161084623
l_SOL28,0.07034415022261147,-0.019690642529555904,0.005943857754199677,0.02105565254362631,-0.0962900491961167
l_SOL29,-0.03076431376432546,0.04331114194671209,0.10080527543757745,0.08594361700014573,0.03788443840786702
l_SOL30,-0.00040894393514716467,0.020403183401215927,0.10692339525268085,0.0790229887348524,-0.023831940097334425
l_SOL31,-0.018470097835519183,0.03596251803078594,0.1099798464410976,0.0868271615056442,0.005931670886225033
l_SOL32,0.03890307733411913,-0.02014098888294522,0.013663463412865734,0.010942305581605265,-0.08023598970376758
l_SOL21,0.09120606147227191,0.08056847223219525,-0.04993174096114234,-0.060938895260265254,-0.015214591602756398
l_SOL22,0.1094634237751224,0.07563865859844929,-0.015478597439958422,-0.05335107018827073,-0.017615318501499274
l_SOL23,0.10208795072887904,0.08058145924961582,-0.03450001986275104,-0.058764406068521624,-0.015821956484709236
l_SOL24,0.08098553432914099,0.031985513299248376,0.04629780861310529,-0.008095019601329984,0.00034068363602439135
l_SOL45,0.0621335919375276,-0.05937774988605824,-0.12677853360540586,-0.011980790310577355,-0.012271718503465702
l_SOL46,0.06864593183878924,-0.06426210000682374,-0.1003464833800654,-0.017316190295801875,-0.025882581537575545
l_SOL47,0.06956954554101889,-0.06705860979640686,-0.1210613438626209,-0.014609350915946614,-0.017251360509024993
l_SOL48,0.003846635315397203,-0.0029079734315658593,0.034514238677008764,0.0003845945705038293,-0.01927809130881433
l_SOL53,-0.07298981851747573,-0.01979949197351387,-0.012202950840931134,0.0077017334999386206,0.12247537165191691
l_SOL54,-0.011510049778419918,-0.027100024252064946,-0.004545273719259136,0.01690721370689752,0.1511244604942877
l_SOL55,-0.04499507575028385,-0.017598268985430668,-0.012918828552578011,0.01481179821793317,0.14427090860237443
l_SOL56,0.07808171558592603,0.016111433503821104,0.010568497420976807,0.00045440525471974113,-0.08856887084105683
l_SOL57,0.08339154323211269,0.03461023839217756,-0.05240973769092187,-0.03243077833004272,-0.02236356239857784
l_SOL58,0.10494149152259115,0.02064491291186036,-0.01597167783255173,-0.035153657300184764,-0.05381326091949042
l_SOL59,0.09731677973448875,0.025164652715678672,-0.03301082087812057,-0.038518126841071296,-0.04015067558849182
l_SOL60,0.051491107988806135,-0.012024752641203772,0.04901126949529446,-0.00273569224818878,-0.05409759590840664
l_SOL33,0.0320810326815508,-0.007940188935974557,-0.10351476908650367,-0.021604456757134852,-0.028457132511351825
l_SOL34,0.06645729929594377,-0.02652988122917324,-0.08953020654173942,-0.013965286351302269,-0.06931583085297964
l_SOL35,0.05545612787913524,-0.015492111490859689,-0.11238287541951501,-0.01496604713628706,-0.049670921356665954
l_SOL36,0.05948312708278788,-0.02871570925938656,-0.04721772278901739,0.0021753866905260847,-0.054437125444472226
l_TOP108,-0.014994445268500018,0.07879548468699027,0.012641204696338958,0.03775973978648021,-0.01735454877166036
l_TOP109,0.013958781713727763,-0.11735162899009514,-0.07623986185837327,0.03637053996845783,-0.003708678029266267
l_TOP110,0.011830819405334097,-0.020323455790820583,0.08516207761525937,-0.01184432565483398,-0.1035879751303412
