LABEL,Haplogroup,PC1,PC2
A. torrentium - CSE,CSE,-8.837301356630354,-1.9873462620798996
A. torrentium - SB,SB,3.263271733481618,3.563627154934662
A. torrentium - SB,SB,2.885534073790984,0.0013733222221971376
A. torrentium - SB,SB,-1.4099584420872793,2.5998269060701866
A. torrentium - SB,SB,1.7082319188133377,-1.3872908617855815
A. torrentium - SB,SB,-3.221926193312563,5.071976352411061
A. torrentium - SB,SB,2.9869074175442103,-3.807614785805338
A. torrentium - SB,SB,-5.619474330810434,5.1178534530885855
A. torrentium - SB,SB,10.957523075884074,-3.8854021162945784
A. torrentium - SB,SB,1.7010753686731754,11.797362897118749
A. torrentium - SB,SB,4.110665745975045,-0.1885659127890586
A. torrentium - SB,SB,0.31498934856602373,3.651280324036475
A. torrentium - SB,SB,9.498955147772797,6.978847945734466
A. torrentium - SB,SB,7.810071572448698,5.639581770738788
A. torrentium - SB,SB,6.094465801260876,8.178581937277928
A. torrentium - SB,SB,0.5229895884204343,2.3863982609688796
A. torrentium - SB,SB,4.389609681882169,-2.8962794580701656
A. torrentium - SB,SB,-4.467207465642338,-1.9891146925881615
A. torrentium - CSE,CSE,-6.305308005830936,-1.4273201279443708
A. torrentium - CSE,CSE,3.140638681706709,-2.7419815504973784
A. torrentium - CSE,CSE,2.9247039345471797,2.4143104457896607
A. torrentium - CSE,CSE,3.128936160253268,-2.2325454580640414
A. torrentium - CSE,CSE,-5.675053930001839,-0.16517985850623013
A. torrentium - CSE,CSE,0.8670771393928552,-2.7200489117915465
A. torrentium - CSE,CSE,-3.316356075511921,-0.8757235990304337
A. torrentium - CSE,CSE,-1.188606088636297,-0.4229783088905983
A. torrentium - CSE,CSE,-2.4603520408094712,0.9073738598017291
A. torrentium - CSE,CSE,-0.9756794138479783,-1.4469060634537736
A. torrentium - CSE,CSE,-1.7407016462797111,-0.9516389635105781
A. torrentium - CSE,CSE,-2.984080581956751,-2.9309775714320616
A. torrentium - CSE,CSE,-4.377559931347551,1.334711730473152
A. torrentium - CSE,CSE,-2.374788991680878,-0.3344389243717833
A. torrentium - CSE,CSE,-5.653289956198869,1.5211498189062094
A. torrentium - CSE,CSE,-2.2988616628754044,-0.2504168440595424
A. torrentium - CSE,CSE,-2.358081713132187,-0.21914331227958392
A. torrentium - CSE,CSE,-5.3925054599412805,-0.6692428982937093
A. torrentium - CSE,CSE,-3.790472390428007,-3.019117215106584
A. torrentium - CSE,CSE,1.4205445394259635,-3.3756085595102654
A. torrentium - CSE,CSE,0.9762563935070957,-3.6726542176659858
A. torrentium - CSE,CSE,-3.3094695971106756,-2.7590961829537393
A. torrentium - CSE,CSE,-3.5439906377895665,-2.995672949946126
A. torrentium - CSE,CSE,-3.7070345427189766,-3.555478628095768
A. torrentium - CSE,CSE,-2.7036270388927504,-3.414826059714413
A. torrentium - CSE,CSE,-2.9610154108867768,-2.9043989711385825
A. torrentium - CSE,CSE,-3.643603444387932,-2.905031468469672
A. torrentium - CSE,CSE,-1.616935027638027,-3.1203626688351807
A. torrentium - CSE,CSE,2.0556715196468978,-1.9057603124947458
A. torrentium - CSE,CSE,1.7682983078131638,-3.292437267663028
A. torrentium - CSE,CSE,-3.6317692995644517,-2.9340093120815123
A. torrentium - CSE,CSE,-0.10745526746465446,-1.81479604038868
A. torrentium - CSE,CSE,-2.486838894766695,-3.7071693825674528
A. torrentium - CSE,CSE,-2.1024981634550426,-3.4796146373776855
A. torrentium - CSE,CSE,-2.3563606973021396,-2.864324892707851
A. torrentium - CSE,CSE,1.2268329475812667,-2.697053043643576
A. torrentium - CSE,CSE,0.42919790467106395,-4.431198918578439
A. torrentium - CSE,CSE,0.7939601772514442,-2.994633250046877
A. torrentium - CSE,CSE,-0.8368995453407604,-3.302463546557644
A. torrentium - CSE,CSE,-2.210229631974639,-3.3801613650586058
A. torrentium - CSE,CSE,-0.6561950664881794,-3.4436202893707466
A. torrentium - SB,SB,3.2778321572331612,15.488661148549896
A. torrentium - CSE,CSE,12.689495999161805,-6.0936205147620575
A. torrentium - CSE,CSE,9.988336810694525,-8.08053509423329
A. torrentium - CSE,CSE,7.90811109693225,-1.7679203697150319
A. torrentium - CSE,CSE,10.208417094278206,-4.383281038177081
A. torrentium - CSE,CSE,8.42787983006264,-3.2967870569637316
A. torrentium - CSE,CSE,-1.4738039483607395,-3.5069551238759455
A. torrentium - CSE,CSE,-5.291866295005272,-2.5850937333591197
A. bihariensis,AUB,8.023598415882548,2.5883229207421463
